sell_nbr;name;unit price;quantity;total
1;Tintin;9,95;2;19,9
2;Asterix;12,5;1;12,5
3;Asterix;12,5;2;25
4;Asterix;12,5;3;37,5
5;XIII;5;1;5
6;Thorgal;8,49;2;16,98
7;Gaston;6,78;3;20,34
8;Thorgal;8,49;3;25,47
9;Tintin;9,95;1;9,95
10;Spirou et Fantasio;7,23;3;21,69
11;Largo Winch;9,99;1;9,99
12;Spirou et Fantasio;7,23;2;14,46
13;Largo Winch;9,99;1;9,99
14;Okko;8,25;2;16,5
15;Largo Winch;9,99;3;29,97
16;Asterix;12,5;3;37,5
17;Okko;8,25;3;24,75
18;Spirou et Fantasio;7,23;3;21,69
19;Okko;8,25;1;8,25
20;Tintin;9,95;1;9,95
21;Largo Winch;9,99;1;9,99
22;Tintin;9,95;3;29,85
23;Asterix;12,5;3;37,5
24;Thorgal;8,49;3;25,47
25;Murena;4,23;3;12,69
26;Thorgal;8,49;2;16,98
27;Asterix;12,5;1;12,5
28;Tintin;9,95;1;9,95
29;Tintin;9,95;3;29,85
